公司,證券代碼,證期會代碼,年月日,TSE 產業別,TEJ產業_名稱,TEJ產業_代碼,TEJ產業指數,收盤價(元),季別,每股盈餘,ROE－綜合損益,ROA－綜合損益,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性FA成長率,總資產報酬成長率
1109 信大,1109,1109,2021/9/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,19.73,3,0.31,1.39,1.18,-25.4,-54.21,-54.21,-63.21,-59.24,-64.39,-64.39,-65.15,1.51,6.03,-6.99,-2.14
1109 信大,1109,1109,2021/6/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,21.59,2,0.47,2.02,1.7,-9.81,-18.83,-18.83,-19.62,-19.51,-30.63,-30.63,-26.92,8.26,16.41,-5.71,-0.89
1109 信大,1109,1109,2021/3/31,1,水泥製造,M11A,TEJN01  傳產- 水泥,19.14,1,0.83,3.71,3.04,55.49,86.26,86.26,125.1,174.98,191.88,191.88,126.9,12.15,13.1,-5.94,2.2
1110 東泥,1110,1110,2023/6/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,19.15,2,0.12,1.93,1.39,98.97,1896.85,1896.85,244.36,219.1,202.56,202.56,313.66,11.35,4.01,-10.85,1.1
1110 東泥,1110,1110,2023/3/31,1,水泥製造,M11A,TEJN01  傳產- 水泥,17.46,1,0.06,0.71,0.52,19.14,-4.25,-4.25,-20.24,-31.74,-30.13,-30.13,-65.42,9.32,0.3,48.49,-0.01
1110 東泥,1110,1110,2022/12/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,18.61,4,0.19,1.64,1.22,11.9,-55.78,-55.78,-275.92,337.75,407.82,407.82,-204.74,9.41,0.18,38.7,0.72
1110 東泥,1110,1110,2022/9/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,17.51,3,0.12,0.29,0.22,17.12,1270.64,1270.64,151.77,-23.13,-31.5,-31.5,-10.39,7.03,-0.49,40.8,-0.15
1110 東泥,1110,1110,2022/6/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,19.48,2,-0.1,-1.58,-1.23,-43.54,-110.06,-110.06,-265.56,-300.49,-351.97,-351.97,-300.63,4.69,-1.32,35.84,-0.74
1110 東泥,1110,1110,2022/3/31,1,水泥製造,M11A,TEJN01  傳產- 水泥,21.06,1,0.05,0.59,0.47,14.43,101.66,101.66,495.42,43,94.44,94.44,668.68,12.22,2.03,424.18,0.18
1110 東泥,1110,1110,2021/12/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,19.93,4,0.03,0.96,0.77,10.83,80.82,80.82,4454.58,113.29,22.05,22.05,251.21,11.08,1.89,400.83,0.04
1110 東泥,1110,1110,2021/9/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,21.3,3,0.14,0.06,0.05,11.46,-79.24,-79.24,-300.18,346.35,227.51,227.51,237.49,9.58,1.73,510.69,0.5
1110 東泥,1110,1110,2021/6/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,15.27,2,0.05,0.78,0.65,43.19,366.69,366.69,331.14,201.16,159.31,159.31,254.06,11.51,3.36,533.82,0.16
1110 東泥,1110,1110,2021/3/31,1,水泥製造,M11A,TEJN01  傳產- 水泥,15.86,1,0.03,0.34,0.3,-0.16,186.69,186.69,122.86,166.31,145.92,145.92,135.96,5.49,2.52,10.58,0.47
1201 味全,1201,1201,2023/6/30,2,飲料乳品,M12C,TEJN02  傳產- 食品,20.05,2,0.07,-0.63,-0.24,6.76,1.03,1.03,-28.16,-41.29,-59.73,-59.73,-60.37,-0.69,1.97,-8.07,-0.29
1201 味全,1201,1201,2023/3/31,2,飲料乳品,M12C,TEJN02  傳產- 食品,19.76,1,0.25,1.98,0.79,5.24,-0.31,-0.31,-7.82,32.5,32.98,32.98,16.19,0.29,3.21,-6.26,0.22
1201 味全,1201,1201,2022/12/30,2,飲料乳品,M12C,TEJN02  傳產- 食品,18.82,4,-0.17,-0.39,-0.16,-4.1,-14.59,-14.59,-184.81,-176.71,-171.02,-171.02,-115.17,-1.95,2.56,-1.2,-1.11
1201 味全,1201,1201,2022/9/30,2,飲料乳品,M12C,TEJN02  傳產- 食品,19.36,3,0.28,2.65,1.01,3.78,-1.49,-1.49,-39.18,-32.69,-30.76,-30.76,5.91,-3.58,5.05,-0.9,-0.31
1201 味全,1201,1201,2022/6/30,2,飲料乳品,M12C,TEJN02  傳產- 食品,19.46,2,0.18,0.59,0.22,-0.6,-5.38,-5.38,-25.18,-27.24,-9.02,-9.02,2.61,1.13,5.18,-1.08,-0.01
1201 味全,1201,1201,2022/3/31,2,飲料乳品,M12C,TEJN02  傳產- 食品,20.67,1,0.19,3.29,1.26,4.09,1.8,1.8,23.37,6.03,13.8,13.8,47.44,1.98,5.67,-0.41,0.09
