m_date,company_id,revenue_release_date,revenue_m,revenue_m_lastyear, revenue_vs_lastyear_ratio, revenue_mom_ratio, revenue_growth_month,cumulative_revenue,cumulative_revenue_lastyear, cumulative_revenue_vs_lastyear_ratio
2023/10/31,6170,2023/11/8,203512 ,160943 ,26.45 ,0.39 ,2 ,1847822 ,2147541 ,-13.96 
2023/10/31,6171,2023/11/9,1269739 ,51470 ,2366.95 ,0.00 ,0 ,1295381 ,1943315 ,-33.34 
2023/10/31,6173,2023/11/7,299421 ,259323 ,15.46 ,-2.80 ,-3 ,3089752 ,3578958 ,-13.67 
2023/10/31,6174,2023/11/8,38995 ,53588 ,-27.23 ,8.75 ,1 ,386242 ,608767 ,-36.55 
2023/10/31,6175,2023/11/7,314521 ,270208 ,16.40 ,4.42 ,1 ,3046856 ,3199618 ,-4.77 
2023/10/31,6176,2023/11/8,4050031 ,6283422 ,-35.54 ,5.21 ,2 ,36502737 ,49681521 ,-26.53 
2023/10/31,6177,2023/11/9,3047318 ,81154 ,3654.98 ,3069.60 ,1 ,8539807 ,8447983 ,1.09 
2023/10/31,6179,2023/11/10,121800 ,265664 ,-54.15 ,-61.15 ,-2 ,2735363 ,2146254 ,27.45 
2023/10/31,6180,2023/11/9,723794 ,760443 ,-4.82 ,2.60 ,1 ,8518387 ,9957526 ,-14.45 
2023/10/31,6182,2023/11/8,725149 ,1110970 ,-34.73 ,-19.04 ,-1 ,8608189 ,10717319 ,-19.68 
2023/10/31,6183,2023/11/8,192635 ,153652 ,25.37 ,-1.97 ,-1 ,1788366 ,1819332 ,-1.70 
2023/10/31,6184,2023/11/8,172174 ,166580 ,3.36 ,-1.04 ,-1 ,1719542 ,1663456 ,3.37 
2023/10/31,6185,2023/11/6,32811 ,45464 ,-27.83 ,8.64 ,1 ,491342 ,493203 ,-0.38 
2023/10/31,6186,2023/11/9,194271 ,12524 ,1451.19 ,16.30 ,1 ,1230415 ,33910 ,3528.47 
2023/10/31,6187,2023/11/8,117496 ,116180 ,1.13 ,0.96 ,8 ,952808 ,2074657 ,-54.07 
2023/10/31,6188,2023/11/6,996209 ,1264071 ,-21.19 ,0.99 ,3 ,8591306 ,9907277 ,-13.28 
