公司,證券代碼,證期會代碼,年月日,TSE 產業別,TEJ產業_名稱,TEJ產業_代碼,TEJ產業指數,收盤價(元),季別,每股盈餘,ROE－綜合損益,ROA－綜合損益,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性FA成長率,總資產報酬成長率,date,Year,股價變化,股價變化率
3522 御頂,3522,3522,2023-03-31,16,餐飲飯店,M27A,TEJN20  傳產- 觀光餐飲,12.85,1.0,0.04,1.36,0.22,10.05,13.56,13.56,82.69,-95.51,-95.34,-95.34,104.23,-17.62,-33.95,-23.32,-2.59,2023-03-31,2023,-0.45,-2.74
3540 曜越,3540,3540,2023-03-31,25,電子零組件,M23D,TEJT12  電子- 機殼,37.77,1.0,0.5,1.3,0.52,54.33,90.6,90.6,166.21,342.75,243.72,243.72,243.72,4.63,2.61,-0.99,1.43,2023-03-31,2023,,
3558 神準,3558,3558,2023-03-31,27,網路設備,M23E,TEJT15  電子- 網通,342.0,1.0,5.14,6.62,2.27,57.5,16.5,16.5,25.79,15.24,14.56,14.56,14.56,50.8,27.15,56.39,0.35,2023-03-31,2023,,
3564 其陽,3564,3564,2023-03-31,27,主機板,M23B,TEJT02  電子- 主機板,39.44,1.0,0.24,1.26,0.57,22.91,20.27,20.27,26.42,-6.02,-5.97,-5.97,-37.07,-0.32,8.89,-0.42,0.14,2023-03-31,2023,,
3570 大塚,3570,3570,2023-03-31,30,軟體服務,M23X,,109.18,1.0,2.78,6.0,4.17,35.9,3.42,3.42,3.72,16.77,20.2,20.2,5.1,18.17,9.06,-2.7,0.69,2023-03-31,2023,,
3577 泓格,3577,3577,2023-03-31,25,主機板,M23B,TEJT02  電子- 主機板,80.0,1.0,0.63,2.98,2.25,5.74,4.53,4.53,21.24,10.54,10.54,10.54,10.54,11.84,12.97,13.34,0.31,2023-03-31,2023,,
3580 友威科,3580,3580,2023-03-31,31,電子設備,M23H,TEJT18  電子- 電子設備,55.2,1.0,0.2,0.82,0.37,1.34,18.04,18.04,194.66,-56.21,-65.76,-65.76,-65.76,21.63,18.87,-24.11,-0.71,2023-03-31,2023,,
3583 辛耘,3583,3583,2023-03-31,24,電子設備,M23H,TEJT18  電子- 電子設備,82.62,1.0,1.81,4.99,1.18,29.07,12.96,11.9,44.3,14.78,20.2,20.2,8.55,53.39,11.76,4.5,0.18,2023-03-31,2023,,
3587 閎康,3587,3587,2023-03-31,31,其他電子,M23Z,TEJO99  其它業別,178.57,1.0,2.45,4.81,2.34,27.66,21.03,21.03,28.06,20.08,19.08,19.08,19.08,21.69,1.19,39.2,1.03,2023-03-31,2023,,
3594 磐儀,3594,3594,2023-03-31,25,主機板,M23B,TEJT02  電子- 主機板,48.4,1.0,0.38,1.78,1.02,17.19,59.52,62.13,1805.24,146.86,168.33,168.33,271.6,14.77,14.13,-8.24,0.62,2023-03-31,2023,,
3596 智易,3596,3596,2023-03-31,27,網路設備,M23E,TEJT15  電子- 網通,101.26,1.0,2.25,3.64,1.25,7.0,10.72,10.72,45.35,28.82,32.17,32.17,26.93,7.82,6.77,31.98,0.5,2023-03-31,2023,,
3611 鼎翰,3611,3611,2023-03-31,25,主機板,M23B,TEJT02  電子- 主機板,213.76,1.0,4.81,12.5,7.48,8.28,19.24,19.24,36.71,25.7,31.36,31.36,22.2,9.01,21.14,,0.67,2023-03-31,2023,,
3617 碩天,3617,3617,2023-03-31,31,電子零組件,M23D,TEJT11  電子- 電源供應器,119.48,1.0,2.56,4.34,1.94,12.27,39.51,39.51,216.47,86.85,65.73,65.73,65.32,14.18,25.92,-1.96,0.82,2023-03-31,2023,,
3628 盈正,3628,3628,2023-03-31,31,電子零組件,M23D,TEJT11  電子- 電源供應器,48.95,1.0,0.16,0.5,0.24,1.88,17.12,17.12,1622.86,28.23,14.02,14.02,13.84,7.4,13.3,-0.11,0.07,2023-03-31,2023,,
3632 研勤,3632,3632,2023-03-31,27,通訊設備,M23K,TEJT15  電子- 網通,12.25,1.0,0.02,0.59,0.26,52.51,149.91,149.91,134.7,136.11,129.34,129.34,112.44,1.71,-1.01,-19.87,0.88,2023-03-31,2023,,
3653 健策,3653,3653,2023-03-31,28,電子零組件,M23D,TEJT14  電子- 電子零組件其他,476.5,1.0,3.63,5.39,3.46,12.42,19.4,19.4,24.92,3.72,4.08,4.08,2.84,10.63,25.34,10.64,0.21,2023-03-31,2023,,
3661 世芯-KY,3661,3661,2023-03-31,24,半導體,M23G,TEJT17  電子- IC設計,1240.0,1.0,8.09,3.61,2.47,118.43,18.79,18.79,16.2,28.47,29.57,29.57,29.56,30.29,21.61,,0.12,2023-03-31,2023,,
