公司,年月,證期會代碼,季別,財報發布日,每股盈餘,當季季底P/B,當季季底PSR,當季季底P/E,ROA(C)稅前息前折舊前,ROA(A)稅後息前,ROA(B)稅後息前折舊前,ROE(A)－稅後,ROE(B)－常續利益,營業利益率,營業利益成長率,營業利益變動率,營業利益 /實收資本比,常續利益率－稅後,淨利變動率（單季）,稅前息前折舊前淨利率,稅前淨利率,稅前淨利成長率,稅後淨利率,稅後淨利成長率,季底普通股市值,營收成長率,營收變動率,淨值/資產,總資產成長率,總資產週轉次數,業外收支/營收,營業毛利率,營業毛利成長率,已實現銷貨毛利成長率,已實現銷貨毛利率,自由現金流量(D),營業收入淨額,股東權益總額,來自營運之現金流量
6492 生華科,2023/9/28,6492,3,2023/11/9,-0.84,2.75,"3,858.95",,-5.34,-5.12,-5.1,-5.22,-5.36,"-31,568",6.72,-15.02,-8.79,"-30,863.60",-16.64,"-28,877.20","-30,056.40",9.01,"-30,056.40",9.01,"3,858,949",0,0,98.16,-18.46,0,"1,511.60",66.4,6.41,6.41,66.4,-820,250,"1,403,699","-72,775"
6494 九齊,2023/9/28,6494,3,2023/11/9,1.19,1.86,1.46,152.44,4.63,2.63,3.86,3.62,3.6,9.66,27.16,119.32,11.25,10.17,2.69,18.27,12.18,-37.25,10.22,-33.03,"1,969,282",2.5,3.79,77.33,-23.4,0.26,2.52,34.9,-16.45,-16.45,34.9,"-84,505","367,421","1,056,116","33,814"
6496 科懋,2023/9/28,6496,3,2023/11/10,-0.81,1.26,1.9,,-0.86,-1.98,-1.21,-3.32,-3.32,-16.79,-246.44,9.1,-6.55,-19.93,-2.75,-8.21,-18.66,-350.84,-19.93,-269.78,"1,383,225",6.27,-0.72,57.31,12.54,0.1,-1.86,40.51,0.84,0.84,40.51,"35,775","186,529","1,096,650","-28,476"
6499 益安,2023/9/28,6499,3,2023/11/2,-2.1,1.89,26.94,,7.4,-6.68,-6.06,-7.71,-7.73,-480.36,-19.53,-9.44,-23.81,-456.51,67.95,-398.95,-456.07,-46.84,-455.41,-46.56,"4,787,464",10.12,-11.61,87.4,-29.82,0.01,24.3,0.08,-99.01,-99.01,0.08,"2,643","45,723","2,605,257","-187,550"
6504 南六,2023/9/28,6504,3,2023/11/6,0.43,1.48,0.86,22.89,2.14,0.5,1.55,0.88,0.92,0.39,-39.65,-91.84,0.8,2.22,-62.05,15.07,3.93,-14.36,2.11,-13.27,"5,336,100",-3.16,-10.11,33.81,0.29,0.14,3.53,10,-5.95,-5.95,10,"31,029","1,470,988","3,601,848","219,548"
6505 台塑化,2023/9/28,6505,3,2023/11/2,1.8,2.32,1.05,64.24,6.02,4.14,4.89,5.24,5.22,9.37,214.91,379.17,18.95,8.86,"1,568.64",13.1,10.95,341.66,8.9,372.97,"767,792,295",-15.89,20.87,78.09,-1.38,0.46,1.58,10.99,261.46,261.46,10.99,"8,349,640","192,658,407","335,676,700","17,083,002"
6506 雙邦,2023/9/28,6506,3,2023/11/10,-0.14,1.18,0.88,,0.26,-0.52,0.35,-1.25,-1.25,-5.95,-304.29,24.66,-2.67,-4.25,15.35,3.68,-4.55,-173.91,-4.25,-186.68,"1,428,946",-26.92,9.2,51.09,-0.49,0.15,1.4,6.69,-61.58,-61.58,6.69,"-89,960","369,604","1,251,959","-8,856"
6508 惠光,2023/9/28,6508,3,2023/11/8,0.47,1.2,1.88,22.23,2.01,1.34,1.7,1.68,1.68,3.04,-84.05,-36.07,1.48,9.68,19.33,14.87,11.37,-68.39,9.68,-66.36,"2,942,292",-47.43,3.15,81.46,-14.03,0.14,8.32,18.68,-55.89,-55.89,18.68,"-16,227","419,763","2,444,950","-125,647"
6509 聚和,2023/9/28,6509,3,2023/11/14,0.61,1.76,1.38,10.38,4.12,1.8,3.01,2.94,3.35,12.08,-37.75,39.45,8,10.52,-4.37,18.96,11.89,-46.23,9.22,-45.73,"6,505,875",-20.09,0.74,59.44,-9.83,0.19,-0.18,27.53,-23.68,-23.68,27.53,"267,768","1,149,217","3,691,711","220,386"
6510 精測,2023/9/28,6510,3,2023/10/25,0.33,2.53,5.84,130.38,1.4,0.04,1.13,0.04,0.04,-2.49,-106.74,-231.21,-5.26,0.48,-87.85,17.08,0.42,-98.96,0.48,-98.51,"19,017,620",-43.62,-6.98,91.82,-6.56,0.08,2.91,48.83,-45.99,-45.99,48.83,"-5,613","692,371","7,575,907","7,125"
6512 啟發電,2023/9/28,6512,3,2023/11/8,-0.02,1.26,1.84,,0.08,-0.12,0.04,-0.14,-0.14,-7.02,-23.15,46.34,-1.88,-0.83,90.9,0.52,-0.85,-110.28,-0.83,-112.96,"505,000",-6.77,-3.86,89.09,-3.87,0.15,6.17,20.22,-11.29,-11.29,20.22,-340,"66,866","399,896","16,965"
6514 芮特-KY,2023/9/28,6514,3,2023/11/9,0.51,2.28,3.09,15.22,3.06,1.77,2.12,2.4,2.41,14.52,-53.37,42.51,5.4,13.66,-52.63,23.41,20.06,-67.73,13.6,-72.15,"1,487,243",-46.85,-0.52,78.67,-9.56,0.13,5.54,30.02,-42.61,-42.61,30.02,"-25,876","111,714","653,087","15,392"
6515 穎崴,2023/9/28,6515,3,2023/11/10,3.7,6.91,5,23.29,3.98,2.62,3.14,3.81,3.83,13.47,-69.6,-20.26,38.13,12.95,-6.61,19.6,16.45,-65.5,12.88,-65.64,"23,583,552",-36.71,-3.19,74,-8.45,0.2,2.97,34.87,-53.02,-53.02,34.87,"-160,396","984,228","3,411,449","130,139"
6516 勤崴國際,2023/9/28,6516,3,2023/10/27,0.33,4.38,9.11,49.54,2.59,1.39,2.03,1.68,1.68,10.35,-53.77,-27.81,2.38,14.33,-11,26.81,18.46,-32.42,14.33,-33.35,"4,437,990",-17.55,-4.12,84.49,-0.77,0.1,8.1,48.95,-13.69,-13.69,48.95,"-2,246","117,701","1,013,629","41,994"
6517 保勝光學,2023/9/28,6517,3,2023/11/13,1.26,3.98,4.23,15.06,7.07,5.4,5.97,6.84,6.84,21.21,-20.14,19.66,8.67,30.73,60.87,40.21,36.15,7.26,30.73,14.54,"2,311,772",-8.75,16.43,81.08,34.78,0.18,14.94,40.57,-9.19,-9.19,40.57,-12,"125,040","580,988","34,833"
6523 達爾膚,2023/9/28,6523,3,2023/11/7,2.82,4.22,5.98,12.9,8.16,6.71,6.78,8.33,8.29,42.45,52.84,42.45,28.06,42.42,52.89,52.18,51.36,58.91,42.6,55.19,"6,509,292",32.33,25.92,80.39,3.62,0.16,8.91,71.09,32.01,32.01,71.09,"90,369","297,718","1,541,860","111,260"
6525 捷敏-KY,2023/9/28,6525,3,2023/11/7,1.05,2.07,1.92,12.19,5.32,2.18,4.27,3.38,3.38,12.18,-46.24,0.77,10.52,12.19,-12.48,29.77,15.08,-54.61,12.19,-53.68,"8,568,721",-19.09,2.45,66.22,-10.9,0.18,2.9,20.07,-37.85,-37.85,20.07,"-131,702","1,114,376","4,141,543","97,532"
6526 達發,2023/9/28,6526,3,2023/11/6,2.92,11.15,,75.59,4.42,2.74,3.62,5.92,5.94,12.09,-41.61,74.96,31.94,11.09,55.44,18.65,13.39,-41.98,11.05,-36.22,"82,792,914",-17.53,9.31,47.13,-24.32,0.24,1.3,47.81,-14.7,-14.7,47.81,"642,573","3,843,337","7,422,648","1,343,446"
6527 明達醫,2023/9/28,6527,3,2023/11/14,0.93,2.67,2.59,17.02,3.54,2.23,2.83,2.88,2.88,11.02,-32.93,-15.49,9.52,10.6,-32.39,16.92,13.25,-34.78,10.6,-34.78,"2,240,304",4.91,6.4,80.04,3.15,0.21,2.22,34.44,4.93,4.93,34.44,"-33,803","219,954","838,471","57,559"
6530 創威,2023/9/28,6530,3,2023/11/7,0.38,2.58,4.48,19.53,3.55,2.45,2.84,2.9,2.9,20.26,-2.62,-16.05,3.92,19.6,-13.83,28.46,24.5,-7.56,19.6,-7.56,"1,157,625",-2.02,-2.43,88.97,-1.14,0.12,4.24,45.23,-0.48,-0.48,45.23,266,"65,384","448,076","14,890"
6531 愛普*,2023/9/28,6531,3,2023/10/29,3.27,5.67,15.94,51,5.59,4.44,4.52,4.97,4.9,21.02,-20.2,26.32,32.11,42.17,9.69,54.03,52.39,-25.01,42.72,-24.13,"61,997,742",4.49,12.97,93.12,0.06,0.1,31.37,41.33,-0.96,-0.96,41.33,"25,423","1,239,550","10,933,456","1,161,150"
6532 瑞耘,2023/9/28,6532,3,2023/11/7,1.19,2.24,3.11,12.23,5.28,3.65,4.29,4.56,4.56,24.62,-10.16,34.13,12.72,23.04,33.52,33.35,28.15,-14.82,23.04,-14.62,"2,242,956",7.88,13.59,83.06,-2.23,0.16,3.54,37.29,-2.13,-2.13,37.29,"-5,565","193,535","999,834","48,240"
6533 晶心科,2023/9/28,6533,3,2023/11/2,2.05,4.07,20.86,,3.36,1.96,2.94,2.14,2.14,-27.15,-302.27,52.37,-13.27,42.03,347.7,72.26,45.63,-62.98,42.03,-64.42,"20,057,400",-8.69,38.19,91.49,-1.46,0.05,72.78,99.84,-8.77,-8.77,99.84,"297,775","247,577","4,926,456","219,889"
6535 順藥,2023/9/28,6535,3,2023/11/10,-0.74,6.75,192.92,,-12.9,-6.81,-4.17,-7.62,-4.98,-526.51,-2.64,22.12,-5.25,-490.8,19.83,-712.62,-750.06,21.09,-751.58,20.95,"10,186,363",254.71,14.51,88.99,-2.98,0.01,-223.55,86.22,468.73,468.73,86.22,"-43,051","16,267","1,542,891","-64,794"
6538 倉和,2023/9/28,6538,3,2023/11/10,3.49,3.25,3.2,17.04,7.99,4.91,5.87,7.27,7.27,25.47,215.5,77.07,41.49,20.91,91.57,34.19,28.86,178.74,20.92,163.68,"6,071,733",59.93,27.87,67.38,6.6,0.23,3.39,46.07,88.88,88.88,46.07,"-31,882","622,118","1,867,692","89,399"
6541 泰福-KY,2023/9/28,6541,3,2023/11/13,-3.78,6.39,,,-11.4,-13.76,-11.94,-31.97,-31.96,"-9,938.22",-29.56,-1.25,-37.9,"-9,895.67",0.04,"-8,024.43","-9,891.11",-24.92,"-9,898.98",-25.02,"8,754,771",-38.72,-70.11,39.81,-13.34,0,47.11,80.61,423.54,423.54,80.61,"-16,253","5,105","1,370,897","-310,345"
6542 隆中,2023/9/28,6542,3,2023/11/9,0.55,3.16,3.09,19.62,3.31,2.04,2.69,2.43,2.79,8.16,-7.36,-54.73,3.72,12.07,-42.92,15.54,13.29,-30.12,10.51,-24.17,"2,389,800",-0.97,-0.95,83.59,9.89,0.19,5.13,78.73,0.08,0.08,78.73,"-9,185","191,482","842,214","38,124"
6546 正基,2023/9/28,6546,3,2023/11/9,1.78,2.9,2.6,19.26,3.74,3.68,3.48,6.34,5.73,11.67,-48.99,16.63,10.64,17.65,47.96,22.07,20.65,-35.11,19.52,-26.49,"5,549,739",-31.32,6.26,59.85,-17.3,0.18,8.98,23,-36.09,-36.09,23,"-72,620","603,739","1,914,274","15,504"
6547 高端疫苗,2023/9/28,6547,3,2023/11/14,-0.16,5.42,98.85,,-0.11,-0.67,-0.29,-1.17,-1.2,-39.85,76.6,75.59,-2.65,-24.4,83.4,-4.41,-23.84,83.18,-23.84,83.18,"23,922,662","10,324.36",0,66.67,-16.94,0.03,16.01,51,"5,322.89","5,322.89",51,"11,157","218,286","4,414,437","-108,878"
6548 長科*,2023/9/28,6548,3,2023/11/7,0.45,3.14,2.63,14.68,3.65,2.21,2.99,4.11,4.05,10.16,-65.16,-26.16,75.89,14.78,-13.37,26.93,18.77,-54.95,15.02,-54.88,"31,557,862",-22.9,-5.04,52.17,7.12,0.14,8.61,21.45,-47.56,-47.56,21.45,"379,977","2,840,070","10,471,121","691,594"
6550 北極星藥業-KY,2023/9/28,6550,3,2023/11/10,-0.57,7.25,"16,877.59",,-4.2,-4.52,-4.25,-5.21,-5.19,"-60,571.66",-63.02,-18.71,-6.58,"-53,323.02",-29.52,"-48,912.75","-53,489.23",-41.17,"-53,607.92",-41.48,"59,105,309",131.52,-50.18,87.74,-3.95,0,"7,082.43",12.87,18.18,18.18,12.87,"-212,252",808,"8,243,882","-386,507"
6552 易華電,2023/9/28,6552,3,2023/11/9,0.27,1.23,1.79,,3.14,0.6,2.68,0.88,0.89,-0.55,95.87,84.33,-0.34,4.58,-36.61,29.69,4.88,"1,368.27",4.53,"13,384.62","3,075,150",38.05,13.23,56.25,-5.03,0.11,5.43,6.66,267.8,267.8,6.66,"77,636","503,243","2,499,241","137,354"
6556 勝品,2023/9/28,6556,3,2023/11/9,1.26,1.81,1.17,7.76,3.08,1.77,2.14,2.81,2.84,7.18,-59.55,-54.07,11.99,7.91,-42.98,12.01,9.74,-59.83,7.81,-59.88,"2,409,250",-16.8,2.62,62.99,-9.98,0.22,2.56,22.26,-38.84,-38.84,22.26,"18,058","480,234","1,355,387","72,565"
6558 興能高,2023/9/28,6558,3,2023/11/8,0.45,1.38,1.81,,3.53,1.99,3.05,2.82,2.82,3.97,142.78,180.76,1.42,12.56,611.37,22.63,13.85,"1,156.74",12.54,"4,512.94","2,114,063",9.45,17.69,68.72,-18.42,0.16,9.88,21.19,139.79,139.79,21.19,"-4,958","335,590","1,532,130","34,450"
6560 欣普羅,2023/9/28,6560,3,2023/11/13,0.32,1.6,4.57,,1.91,1.54,1.7,1.76,1.76,-22.57,-64.51,-19.87,-3.34,21.48,457.94,26.61,23.89,-23.09,21.48,-13.54,"752,933",-38.9,47.79,89.91,-10.23,0.07,46.46,30.63,-14.78,-14.78,30.63,"38,617","38,278","472,012","2,908"
6561 是方,2023/9/28,6561,3,2023/11/2,2.94,8.23,8.56,24.37,5.12,3.55,4.11,7.07,7.07,33.93,13.62,3.62,35.85,27.9,5.93,41.85,34.7,11.65,27.9,11.48,"27,547,926",7.3,3.88,52.09,17.15,0.12,0.77,48.18,9.72,9.72,48.18,"-82,020","822,216","3,358,026","202,476"
6568 宏觀,2023/9/28,6568,3,2023/11/9,0.97,2.78,3.17,34.7,2.99,1.75,2.81,2.08,2.39,10.13,421.62,451.69,8.56,13.07,160.37,20.56,14.02,547.96,11.37,531.34,"3,996,070",-5.21,11.45,85.68,-13.22,0.15,3.89,41.63,12.37,12.7,41.63,"14,603","259,857","1,437,851","54,607"
6569 醫揚,2023/9/28,6569,3,2023/11/7,1.96,4.35,4.1,21.09,3.74,3.17,3.48,4.6,4.71,12.71,176.99,-6.2,14.12,17.93,-3.41,23.2,21.31,27.41,17.52,21.81,"6,332,634",10.67,4.02,68.63,10.67,0.18,8.6,34.96,46.98,46.98,34.96,"54,006","372,247","1,466,240","223,552"
6570 維田,2023/9/28,6570,3,2023/11/13,0.9,2.35,1.96,12.68,3.1,2.58,3.17,3.98,3.99,11.12,-67.4,-42.28,6.83,14.73,-18.44,18.13,13.29,-66.93,14.68,-57.37,"2,019,274",-37.07,-17.77,67.82,-8.54,0.17,2.17,38.43,-39.69,-39.69,38.43,"-1,248","226,462","860,898","49,931"
6573 虹揚-KY,2023/9/28,6573,3,2023/11/14,-0.73,1.48,0.97,,0.11,-2.27,-1.17,-7.2,-7.21,-15.73,-95.27,5.98,-6.22,-18.58,-33.02,-5.61,-18.72,-11.29,-18.56,-10.55,"1,159,186",16.28,7.4,36.51,-11.79,0.14,-2.99,3.49,-67.03,-67.03,3.49,"-22,972","318,413","802,113","-11,407"
6574 霈方,2023/9/28,6574,3,2023/11/14,-0.33,1.82,1.85,20.16,2.06,-0.74,3.57,-1.05,2.91,12.31,544.12,35.05,8.42,12.22,-124.78,8.43,-1.74,-122.7,-4.41,-157.28,"1,130,286",6.87,-9.21,76.64,-11.27,0.18,-14.04,77.52,11.24,11.24,77.52,"2,207","150,470","628,850","50,876"
6576 逸達,2023/9/28,6576,3,2023/11/10,-1.74,6.92,79.95,,-8.85,-10.64,-9.97,-14.04,-14.04,-398.16,-37.79,11.62,-17.81,-389.57,16.1,-323.32,-355.45,-34.66,-389.57,-44.16,"10,902,893",235.39,61.98,74.52,47.92,0.03,42.72,70.81,"4,464.23","4,464.23",70.81,"-96,010","60,723","1,574,735","-206,837"
6577 勁豐,2023/9/28,6577,3,2023/11/13,2.47,3,1.42,11.41,5.27,4.46,4.67,8.49,8.19,10.89,96.3,58.99,22.42,11.59,44.83,16.16,14.84,52.08,12.01,54.48,"3,477,289",57.69,11.5,54.81,25.8,0.37,3.95,24.75,57.09,57.09,24.75,"19,434","787,496","1,157,895","-269,105"
6578 達邦蛋白,2023/9/28,6578,3,2023/11/8,-0.5,1.12,2.57,,0.33,-1.85,0.09,-3.19,-0.43,-13.98,11.93,-44.37,-2.04,-4.53,-177.02,-23.61,-31.15,-319.98,-33.95,-340.7,"1,024,026",-0.05,-10.66,62.76,10.17,0.06,-17.17,11.25,92.55,92.55,11.25,"-283,790","87,052","915,098","10,278"
6579 研揚,2023/9/28,6579,3,2023/11/8,2.35,2.5,3,16.08,2.55,2.37,2.82,2.93,3.08,12.55,-2.83,-1.21,16.16,17.62,-5.49,24.11,21.11,-5.77,16.74,-10.06,"24,917,476",0.18,0.34,82.79,30.31,0.14,8.56,36.5,18.14,18.14,36.5,"-243,136","2,063,003","12,037,663","835,221"
6581 鋼聯,2023/9/28,6581,3,2023/10/27,0.56,2.51,4.7,14.38,3.23,1.43,2.53,1.61,1.67,18.94,-68.99,-60.8,7,15.85,-62.15,33.4,19.17,-69.93,15.26,-70.89,"9,847,395",-36.73,-31.85,90.13,-8.12,0.09,0.23,30.83,-62.2,-62.2,30.83,"9,749","411,091","3,920,971","88,688"
6582 申豐,2023/9/28,6582,3,2023/11/7,0.25,0.89,5.71,,0.86,0.42,0.89,0.44,0.46,-29.89,"-1,323.67",-118.11,-5.27,14.24,429.08,28.54,9.05,-76.16,13.89,-60.07,"5,244,996",-40.65,-22.51,94.23,-4.58,0.03,38.94,0.53,-98.22,-98.22,0.53,"253,350","187,298","5,864,279","47,672"
6584 南俊國際,2023/9/28,6584,3,2023/11/10,0.27,2.35,3.39,,1.77,0.67,1.36,0.95,0.93,3.57,-61.05,130.42,1.89,5.12,181.59,17.04,7.24,-69.16,5.17,-70.82,"4,489,913",-34.93,18.43,56.43,-6.07,0.1,3.66,19.46,-34.1,-34.1,19.46,"28,977","347,369","1,911,470","79,834"
6585 鼎基,2023/9/28,6585,3,2023/11/7,2.03,2.58,3,16.76,5.12,2.89,4.15,4.75,5.38,23.35,154,56.6,24.59,21.86,52.9,33.18,24.36,108.66,19.3,119,"7,824,459",9.23,11.36,59.11,2.17,0.14,1.01,37.57,60.46,60.46,37.57,"60,402","729,105","3,036,213","245,188"
6588 東典光電,2023/9/28,6588,3,2023/11/6,-0.77,1.12,7.74,,-0.93,-2.13,-1.19,-2.77,-2.77,-86.6,-458.54,-22.15,-8.99,-74.26,-19.75,-31.46,-74.21,-596.74,-74.26,-724.76,"821,025",-15.28,4.14,79.32,-9.17,0.03,12.4,-37.05,-199.74,-199.74,-37.05,"3,132","27,720","732,326","-5,407"
6589 台康生技,2023/9/28,6589,3,2023/11/13,-0.37,2.9,30.2,,-0.47,-0.97,-0.58,-1.08,-1.1,-94.29,-40.65,22.09,-6.54,-53.81,42.43,-23.99,-52.64,-309.85,-52.84,-305.3,"29,817,548",-41.52,52.88,91.26,-6.34,0.02,41.65,26.26,-63.68,-63.68,26.26,"85,655","211,451","10,295,842","-156,343"
6590 普鴻,2023/9/28,6590,3,2023/11/2,1.45,2.98,2.8,12.46,2.31,3.25,3.87,4.79,5.11,24.07,58.67,70.69,19.82,19.98,-4.15,27.02,23.54,26.62,18.7,20.55,"1,779,928",33.04,8.95,66.57,7.36,0.17,-0.54,44.22,23.17,23.17,44.22,"13,296","175,328","701,984","51,513"
6591 動力-KY,2023/9/28,6591,3,2023/11/10,1.28,1.06,1.31,9.42,3.51,1.75,2.35,2.68,2.67,11.55,355.18,224.48,13.15,11.3,24.51,23.22,17.35,266.08,11.34,185.61,"1,874,434",61.2,28.11,66.82,-6.59,0.15,5.8,31.47,196.17,196.17,31.47,"91,529","404,888","1,784,356","25,847"
6592 和潤企業,2023/9/28,6592,3,2023/11/8,1.77,2.12,2.75,13.57,0.64,0.39,0.5,3.18,3.18,18.17,11.7,7.28,20.46,15.25,21.35,25.02,19.82,8.59,15.28,9.77,"74,778,000",26.87,8.42,12.97,26.77,0.03,1.65,57.6,15.83,15.83,57.6,"-3,008,967","7,503,161","39,201,827","-13,588,216"
6593 台灣銘板,2023/9/28,6593,3,2023/11/7,0.83,2.35,2.44,42.28,3.24,1.99,2.56,3.08,3.04,12.05,522.27,103.04,10.74,9.53,170.74,17.05,12.18,544.96,9.67,541.7,"1,477,824",58.47,16.86,61.52,23.72,0.19,0.13,31.15,182.75,182.75,31.15,"16,020","190,273","628,441","14,235"
6596 寬宏藝術,2023/9/28,6596,3,2023/11/10,2.15,2.46,1.27,17.76,5.56,6.08,6.38,10.77,10.22,12.92,"1,288.83","2,471.75",24.46,10.76,813.88,15.7,14.26,272.2,11.34,262.46,"1,554,000",55.69,229.8,60.35,23.63,0.54,1.35,25.4,154.07,154.07,25.4,"-1,002","568,097","631,618","124,761"
6598 ABC-KY,2023/9/28,6598,3,2023/11/13,-0.53,2.8,5.05,,-2.4,-3.83,-2.69,-6.18,-6.18,-46.95,-6.5,26.39,-6.07,-41.35,28.5,-25.66,-41.34,0.89,-41.35,0.87,"1,959,038",-1.87,34.75,61.5,-12.69,0.09,5.6,67.46,8.25,8.25,67.46,"-12,420","105,753","698,412","-32,811"
6603 富強鑫,2023/9/28,6603,3,2023/11/13,-0.05,1.07,0.61,25.12,0.52,0.02,0.42,-0.44,-0.39,-1.13,-119.49,-145.54,-0.69,-0.96,-209,3.85,-1.3,-125.74,-1.09,-132.71,"2,394,021",-7.8,-3.15,33.1,0.13,0.13,-0.16,24,-20.51,-20.51,24,"202,392","962,216","2,412,446","154,270"
6605 帝寶,2023/9/28,6605,3,2023/11/13,3.75,1.36,1.23,9.2,2.89,2.18,3.3,3.77,3.07,16.57,45.81,18.66,45.62,11.12,-0.83,32.55,17.19,-1.95,13.63,15.71,"22,219,344",0.92,2.94,51.52,-7.15,0.14,0.62,32.36,14.61,14.61,32.36,"158,367","4,563,812","16,835,353","1,757,073"
6606 建德工業,2023/9/28,6606,3,2023/11/10,0.28,1.59,3.25,14.95,2.82,1.37,1.93,1.83,1.82,19.31,-27.94,-8.88,3.95,13.71,3.83,28.66,21.51,-25.84,13.76,-23.25,"2,674,848",-3.46,5.58,77.91,-0.87,0.1,2.2,35.09,-25.14,-25.14,35.09,"19,318","225,901","1,707,954","14,778"
6609 瀧澤科,2023/9/28,6609,3,2023/11/13,0.94,0.95,0.71,9.35,2.69,1.7,2.13,2.95,2.97,4.88,-65.96,21.75,4.07,11.34,"61,603.60",19.14,14.2,-31.87,11.28,-30.94,"2,235,268",-28.91,-14.74,55.45,-14.6,0.14,9.32,23.15,-35.42,-35.42,23.15,"-139,555","605,164","2,351,276","100,802"
6612 奈米醫材,2023/9/28,6612,3,2023/11/10,1.1,4.87,8.09,36.5,3.59,2.15,2.52,2.72,2.31,22.6,-13.46,-8.23,10.56,15.08,-16.78,35.73,27.77,-12.21,17.74,-36.03,"4,885,309",21.92,1.07,73.43,35.84,0.12,5.17,81.55,11.85,11.85,81.55,"-50,327","159,681","1,109,858","-69,133"
6613 朋億*,2023/9/28,6613,3,2023/11/8,3.52,2.5,1.02,6.92,3.96,2.71,2.97,6.54,6.6,12.97,-1.79,-36.03,87.18,11.11,-31.42,16.49,14.97,-7.88,11.01,-12.2,"9,187,712",-4.57,-2.51,42.74,25.37,0.24,2.01,21.94,11.12,11.12,21.94,"-118,305","2,412,990","4,415,781","107,618"
6615 慧智,2023/9/28,6615,3,2023/11/9,0.27,1.36,1.78,25.75,1.95,0.78,1.88,0.94,0.94,-1.87,44.01,32.18,-1.05,4.87,33.97,12.7,3.47,122.79,4.87,116.76,"842,731",-0.1,0.68,80.91,-2.45,0.15,5.35,27.6,5.59,5.59,27.6,"9,905","119,889","620,404","-8,813"
6616 特昇-KY,2023/9/28,6616,3,2023/11/14,-0.09,1.19,0.5,,2.44,-0.18,0.81,-0.91,-0.72,0.8,230.27,-78.66,0.71,-1.08,-132.6,5.05,0.64,-86.94,-1.36,-148.9,"475,811",-1.11,6.34,46.19,6.25,0.33,-0.17,12.71,-14.95,-14.95,12.71,"-115,903","264,183","403,585","-2,496"
6624 萬年清,2023/9/28,6624,3,2023/11/10,0.71,2.65,1.55,20.98,2.45,1.7,1.96,4.15,4.15,8.06,152.51,"16,035.38",5.75,9.88,291.49,15.56,12.36,83.08,9.88,141.08,"827,100",29.65,29.8,38.66,4.02,0.16,4.29,22.91,46.34,46.34,22.91,183,"128,490","312,234","69,370"
6625 必應,2023/9/28,6625,3,2023/11/13,2.55,5.52,1.72,14.73,12.1,8.38,10.4,15.88,15.93,10.65,"1,748.45",73.99,22.93,11.84,58.77,16.82,13.25,"2,395.54",11.81,"3,125.03","4,283,244",238.4,70.38,49.02,60.94,0.71,2.61,18.07,344.91,344.91,18.07,"14,719","954,988","770,641","325,649"
6629 泰金-KY,2023/9/28,6629,3,2023/11/10,1.79,1.61,1.52,9.16,7.68,4.4,5.34,6.15,6.25,21.32,-18.3,43.21,19.3,20.15,30.38,33.25,27.71,-0.07,19.83,-13.89,"1,724,986",-17.39,9.24,71.04,-4.22,0.22,6.39,28.12,-12.03,-12.03,28.12,-350,"323,292","1,074,330","33,621"
6640 均華,2023/9/28,6640,3,2023/11/3,0.11,3.01,3.25,49.29,0.58,0.34,0.59,0.46,0.46,-4.24,-127.87,-209.42,-3.57,2.24,-80.66,6.42,1.1,-96.06,2.25,-89.7,"3,393,120",-29.75,5.01,43.03,3.39,0.09,5.33,22.69,-58.34,-58.34,22.69,"-32,976","238,214","1,172,330","79,945"
6641 基士德-KY,2023/9/28,6641,3,2023/11/10,0.47,1.14,0.95,19.45,1.55,0.59,1.03,0.92,0.76,0.05,-99.23,105,0.06,2.42,832.27,6.8,3.16,-70.48,2.91,-68.66,"1,609,500",-3.11,6.66,63.44,-10.16,0.19,3.1,32.86,-14.72,-14.72,32.86,"-13,732","441,625","1,423,885","-23,115"
6642 富致,2023/9/28,6642,3,2023/10/31,0.49,1.8,4.35,28.37,2.33,1.48,1.86,1.88,1.87,16.61,-24,15,4.64,17.48,-5.26,27.69,21.97,-63.31,17.55,-63.3,"1,772,713",-7.23,5.34,81.17,-16.75,0.08,5.36,43.63,-15.44,-15.44,43.63,"-121,731","104,395","986,041","28,038"
6643 M31,2023/9/28,6643,3,2023/11/2,4.45,14.31,17.65,53.48,6.52,6.63,7.14,8.21,8.34,33.75,124.77,67.13,41.86,36.06,55.91,44.66,41.89,50.37,35.51,51.33,"27,926,865",33.71,24.35,86.58,6.71,0.19,8.14,100,33.71,33.71,100,"-6,412","432,489","1,951,731","51,537"
6649 台生材,2023/9/28,6649,3,2023/11/9,-0.2,2.3,14.28,103.2,-0.51,-1.12,-0.64,-1.3,-1.3,-114.19,-187.57,"-1,037.43",-2.52,-89.51,-341.4,-39.89,-89.51,-143.04,-89.51,-143.04,"1,463,700",-77.36,-61.93,88.51,-2.9,0.01,24.67,47.78,-83.98,-83.98,47.78,983,"9,277","635,358","-23,257"
6651 全宇昕,2023/9/28,6651,3,2023/11/10,2.07,2.22,1.77,8.2,4.53,3.75,3.92,6.44,6.44,13.06,-22.73,-37.46,12.6,21.3,1.44,26.52,24.5,-1.07,21.3,9.47,"2,532,793",-17.97,-4.9,58.03,11.2,0.17,11.44,31.33,-34.39,-34.39,31.33,"126,101","333,823","1,141,001","28,777"
