公司,年月,上市別,證期會代碼,TSE 產業別,TEJ產業_名稱,ROA－綜合損益,季別,實收資本額(元),ROE(A)－稅後,當季季底P/E,當季季底P/B,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性FA成長率,總資產報酬成長率,季底每股稅後淨利,收盤價(元),市值(百萬元),公司規模,股價變化,股價變化率
3052 夆典,2023/6/30,TSE,3052,14,營造,1.17,2.0,2306723250,3.4,9.51,0.88,20.41,12.68,12.68,19.22,13.02,19.44,19.44,19.44,-20.23,3.83,9.36,0.23,0.54,11.62,2771.0,中,1.14,0.11
3060 銘異,2023/6/30,TSE,3060,25,光電/ IO,-5.79,2.0,1375631900,-6.56,,0.95,-41.25,-82.17,-82.17,-785.26,-221.91,-291.4,-291.4,-234.43,-17.27,-11.33,23.11,-6.04,-1.22,17.54,2449.0,中,0.3,0.02
3252 海灣,2023/6/30,OTC,3252,16,餐飲飯店,0.25,2.0,501957540,0.49,4612.01,0.63,-8.63,-25.37,-25.37,-10.11,-35.87,-34.88,-34.88,-82.85,-3.19,-0.11,-1.09,-0.13,0.08,24.9,1250.0,中,6.35,0.34
3266 昇陽,2023/6/30,TSE,3266,14,建設,-0.14,2.0,3523143090,0.09,157.94,0.94,-61.95,-61.14,-61.14,-94.15,-89.54,-96.36,-96.36,-103.83,3.13,-3.13,-18.72,-0.89,0.03,13.59,4968.0,中,1.2,0.1
3306 鼎天,2023/6/30,OTC,3306,27,通訊設備,32.88,2.0,506077020,2.82,40.75,0.85,-1.34,41.88,41.88,110.44,91.38,98.57,98.57,97.96,34.99,38.8,-11.15,1.36,1.02,35.92,1837.0,中,9.7,0.37
3311 閎暉,2023/6/30,TSE,3311,27,電子零組件,1.22,2.0,680000000,2.2,15.2,0.92,-4.47,-3.62,-3.62,-26.37,15.02,9.63,9.63,7.26,0.06,3.93,-19.47,0.03,0.83,34.15,2363.0,中,0.29,0.01
3373 熱映,2023/6/30,OTC,3373,31,醫療耗材,-4.75,2.0,432898010,-2.27,,0.99,-22.4,-50.51,-50.51,-342.2,-277.16,-283.14,-283.14,-283.14,-14.65,-6.46,,-2.96,-0.52,21.7,939.0,小,-1.85,-0.08
3379 彬台,2023/6/30,OTC,3379,5,儀器設備,5.66,2.0,380417480,-4.43,,0.91,-5.51,-8.15,-8.15,1.8,9.56,9.0,9.0,9.0,16.54,14.34,-6.26,0.21,-0.57,12.5,476.0,小,0.0,0.0
3481 群創,2023/6/30,TSE,3481,26,光電/ IO,-3.97,2.0,90786333380,-5.49,,0.61,-21.21,-130.83,-130.83,-299.23,-488.37,-379.73,-379.73,-514.81,-11.98,-17.33,-3.42,-3.0,-1.42,15.48,145736.0,大,0.76,0.05
3489 森寶,2023/6/30,OTC,3489,14,建設,0.34,2.0,831306700,1.07,14.89,0.74,-29.63,-18.11,-18.11,-32.44,420.09,282.16,282.16,283.13,12.5,1.64,,0.56,0.17,11.1,948.0,小,0.59,0.06
3516 亞帝歐,2023/6/30,OTC,3516,26,家電製品,-0.11,2.0,505902160,0.9,14.65,0.7,11.75,11.85,11.85,-319.46,-46.1,-44.56,-44.56,-80.69,19.69,1.17,-3.38,0.37,0.17,17.99,921.0,小,-0.1,-0.01
3531 先益,2023/6/30,OTC,3531,26,光電/ IO,0.82,2.0,611750110,2.15,9.97,0.93,-17.61,-23.94,-23.94,-67.63,-56.48,-61.34,-61.34,-61.22,-10.2,-0.86,-20.03,-2.25,0.7,25.28,1655.0,中,-1.16,-0.04
3543 州巧,2023/6/30,TSE,3543,26,電子零組件,-0.73,2.0,892631500,0.07,17.88,0.74,-2.67,94.06,94.06,152.28,201.43,102.9,102.9,135.77,-2.31,-3.38,-0.05,1.61,0.12,22.2,1982.0,中,2.44,0.12
3550 聯穎,2023/6/30,TSE,3550,28,電子零組件,-2.85,2.0,875500000,-2.9,,0.82,-15.74,-25.03,-25.03,-3845.11,-506.38,-1164.07,-1164.07,-1164.07,-2.4,-10.66,44.6,-1.23,-0.61,15.94,1440.0,中,1.31,0.09
3605 宏致,2023/6/30,TSE,3605,28,電子零組件,-2.27,2.0,1344177090,-3.82,,0.75,-25.74,-36.86,-36.86,-249.58,-157.63,-174.13,-174.13,-179.84,-8.91,-7.67,22.43,-3.55,-1.54,29.01,3979.0,中,-1.76,-0.06
3615 安可,2023/6/30,OTC,3615,26,光電/ IO,1.55,2.0,684669760,2.15,37.62,0.67,-13.55,-32.67,-32.67,-109.19,41.57,42.53,42.53,-89.51,-2.99,3.47,-10.46,0.44,0.6,22.3,1527.0,中,4.9,0.28
3622 洋華,2023/6/30,TSE,3622,26,光電/ IO,8.98,2.0,1513276000,2.73,13.0,0.91,-22.28,0.08,0.08,-9.17,9.17,5.9,5.9,7.3,9.96,10.48,-4.83,0.17,0.91,35.6,5387.0,中,5.1,0.17
3673 TPK-KY,2023/6/30,TSE,3673,26,光電/ IO,0.33,2.0,4066637590,0.38,14.48,0.49,-29.25,-34.63,-34.63,-190.03,-34.15,-59.37,-59.37,-97.34,0.16,3.18,-11.21,0.05,0.33,43.74,18015.0,中,9.92,0.29
3703 欣陸,2023/6/30,TSE,3703,14,營造,1.51,2.0,8232159800,2.09,16.51,0.93,-19.13,-37.07,-37.07,-53.58,-66.62,-71.37,-71.37,-71.38,5.15,0.56,202.47,-1.77,0.96,28.8,23709.0,中,0.5,0.02
3706 神達,2023/6/30,TSE,3706,25,PC系統,-5.54,2.0,12065567890,1.5,46.37,0.77,-15.66,-7.0,-7.0,168.65,-27.17,-18.43,-18.43,-16.83,2.06,12.52,-6.56,-0.16,0.71,34.95,42169.0,中,7.65,0.28
3714 富采,2023/6/30,TSE,3714,26,光電/ IO,-3.1,2.0,7547839600,-4.38,,0.75,-35.25,-95.06,-95.06,-394.22,-329.5,-370.51,-370.51,-352.77,-3.86,0.94,-9.26,-4.71,-2.87,52.0,39249.0,中,-1.2,-0.02
4173 久裕,2023/6/30,OTC,4173,22,藥,1.29,2.0,745743550,2.01,20.9,0.94,12.34,16.92,16.92,60.97,14.5,17.86,17.86,17.86,1.26,3.39,30.92,0.15,0.51,23.31,1786.0,中,4.43,0.23
4306 炎洲,2023/6/30,TSE,4306,3,石化,1.64,2.0,6551134120,3.15,11.86,0.93,-24.51,-31.96,-31.96,-53.98,-45.66,-35.75,-43.96,-50.5,-1.78,7.78,-3.73,-1.03,0.56,14.81,10349.0,中,-0.56,-0.04
4406 新昕纖,2023/6/30,OTC,4406,4,人纖,0.42,2.0,519120000,0.61,93.89,0.81,-29.08,-152.59,-152.59,-789.22,-79.27,-79.06,-79.06,-88.05,2.64,9.04,19.18,-1.83,0.08,10.55,548.0,小,0.05,0.0
4430 耀億,2023/6/30,OTC,4430,20,其他紡織,-1.63,2.0,562736090,-2.53,,0.67,-13.94,-29.89,-29.89,-301.3,-187.0,-181.54,-181.54,-180.66,-7.45,-6.24,-6.63,-2.46,-0.89,22.64,1303.0,中,0.15,0.01
4432 銘旺實,2023/6/30,OTC,4432,4,成衣,3.24,2.0,505890000,4.28,7.91,0.97,-25.81,-8.22,-8.22,-15.43,-37.9,-42.38,-42.38,-42.76,1.91,9.99,6.79,-2.76,1.08,24.54,1257.0,中,1.73,0.08
